gender,senior_citizen,partner,dependents,tenure_months,phone_service,internet_service,online_security,tech_support,streaming_tv,contract,paperless_billing,payment_method,monthly_charges,total_charges,calls_per_month,data_usage_gb,support_tickets,late_payments,avg_call_duration,churn,recency_score,frequency_score,monetary_score,rfm_churn_risk,charge_per_minute,support_intensity,high_complaint_flag,payment_reliability,data_per_charge,avg_calls_per_week,revenue_risk_proxy,high_charge_new_customer,fiber_no_support,mtm_echeck_risk,longtime_frustrated
0,0,1,0,1,1,1,0,1,1,2,1,1,18.0,18.0,2,3.5,1,2,2.7,0,0.5,0.15384615383431952,0.14999999999875,0.42923076923263614,2.8125,0.5,0,0.0,0.18421052631578946,0.4618937644341801,7.726153846187451,0,0,0,0
1,0,1,0,14,1,0,-1,-1,-1,0,1,3,78.49,1022.05,5,0.0,0,0,12.12,0,0.06666666666666667,0.3846153845857988,0.6540833333278826,0.41137692308066,1.2032611255003534,0.0,0,1.0,0.0,1.1547344110854503,32.288974692601,0,0,0,0
0,1,1,0,40,1,2,1,1,1,0,1,1,58.71,2385.98,3,19.75,1,0,5.27,0,0.024390243902439025,0.2307692307514793,0.4892499999959229,0.3593022514090489,3.766940322071361,0.024390243902439025,0,1.0,0.3307653659353542,0.6928406466512702,21.094635180225264,0,0,0,0
0,0,0,0,47,1,2,1,0,0,1,0,0,70.61,3242.76,1,4.6,1,1,10.48,1,0.020833333333333332,0.07692307691715976,0.5884166666617632,0.4283153846146067,6.570143447605155,0.020833333333333332,0,0.9791666666666666,0.06423683843038681,0.23094688221709006,30.24334930763738,0,1,0,0
0,1,1,0,16,1,1,1,0,0,1,1,1,120.0,1889.79,1,10.33,0,1,13.57,0,0.058823529411764705,0.07692307691715976,0.9999999999916667,0.6081447963779406,8.663992297817714,0.0,0,0.9411764705882353,0.08537190082644629,0.23094688221709006,72.97737556535287,0,0,0,0
0,0,0,0,5,1,2,1,0,1,0,0,3,51.58,270.87,4,5.25,0,0,4.77,1,0.16666666666666666,0.30769230766863903,0.4298333333297514,0.37706153846483936,2.8098547717842326,0.0,0,1.0,0.099847850893876,0.9237875288683602,19.448834154016414,0,1,0,0
0,0,0,1,20,1,1,0,0,0,0,1,2,71.43,1453.84,6,9.83,0,0,7.3,1,0.047619047619047616,0.4615384615029586,0.5952499999950396,0.3648399267450432,1.6577423033067273,0.0,0,1.0,0.13571724423581388,1.3856812933025404,26.060515967398437,0,0,0,0
0,0,1,1,31,1,1,1,1,0,1,0,1,46.06,1453.4,2,2.97,2,0,9.19,0,0.03125,0.15384615383431952,0.38383333333013475,0.33526410256519,2.5463400960089704,0.0625,0,1.0,0.06311092222694432,0.4618937644341801,15.442264564152653,0,0,0,0
0,0,0,1,72,1,0,-1,-1,-1,0,1,0,59.98,4352.4,3,0.0,0,1,8.56,0,0.0136986301369863,0.2307692307514793,0.499833333329168,0.3592589392361659,2.3526995178274124,0.0,0,0.9863013698630136,0.0,0.6928406466512702,21.548351175385232,0,0,1,0
0,0,0,1,34,1,2,0,0,1,0,0,2,35.79,1163.71,5,4.78,0,1,10.07,0,0.02857142857142857,0.3846153845857988,0.29824999999751456,0.2538054945104175,0.6793799988323895,0.0,0,0.9714285714285714,0.12992661049198154,1.1547344110854503,9.083698648527843,0,1,0,0
1,0,1,0,51,1,2,1,0,1,1,0,3,32.05,1659.95,3,35.89,1,1,10.2,0,0.019230769230769232,0.2307692307514793,0.2670833333311076,0.2683717948744549,1.0629802766393444,0.019230769230769232,0,0.9807692307692307,1.0859304084720123,0.6928406466512702,8.601316025726279,0,1,0,0
1,0,0,1,9,1,0,-1,-1,-1,0,0,0,18.0,138.34,5,0.0,1,0,7.5,0,0.1,0.3846153845857988,0.14999999999875,0.22307692308234026,0.408685376661743,0.1,0,1.0,0.0,1.1547344110854503,4.015384615482125,0,0,1,0
0,0,1,0,53,1,1,0,1,1,2,0,3,32.51,1589.15,7,0.6,1,0,7.37,0,0.018518518518518517,0.5384615384201183,0.270916666664409,0.20808176638914735,0.5809846925532032,0.018518518518518517,0,1.0,0.017905102954341987,1.6166281755196306,6.76473822531118,0,0,0,0
0,0,1,0,28,1,2,1,1,1,1,1,0,72.0,2098.11,3,22.59,1,0,10.86,0,0.034482758620689655,0.2307692307514793,0.599999999995,0.40763925729598005,2.2974355043581096,0.034482758620689655,0,1.0,0.30945205479452054,0.6928406466512702,29.350026525310565,0,0,0,0
0,0,1,1,23,1,2,1,1,1,2,0,3,55.6,1256.46,3,0.22,0,0,7.36,0,0.041666666666666664,0.2307692307514793,0.46333333332947224,0.35584615384815976,2.4692634226868955,0.0,0,1.0,0.0038869257950530033,0.6928406466512702,19.785046153957683,0,0,0,0
1,0,1,0,9,1,2,1,1,1,0,1,2,58.4,525.64,5,1.53,1,1,13.09,1,0.1,0.3846153845857988,0.4866666666626111,0.35774358974788467,0.8908397593424284,0.1,0,0.9,0.02575757575757576,1.1547344110854503,20.892225641276465,0,0,0,0
0,0,1,0,6,1,0,-1,-1,-1,2,1,0,51.49,268.64,5,0.0,0,1,2.76,0,0.14285714285714285,0.3846153845857988,0.4290833333297576,0.3518531135576004,3.205727923627685,0.0,0,0.8571428571428572,0.0,1.1547344110854503,18.116916817080845,0,0,0,0
1,1,1,1,23,1,0,-1,-1,-1,0,1,0,69.62,1627.45,8,0.0,2,1,12.32,1,0.041666666666666664,0.6153846153372781,0.5801666666618319,0.3256564102639438,0.7176085154417341,0.08333333333333333,0,0.9583333333333334,0.0,1.8475750577367205,22.67219928257577,0,0,1,0
1,0,1,0,66,1,2,1,1,0,0,0,3,67.78,4452.59,9,11.93,1,0,7.54,0,0.014925373134328358,0.6923076922544379,0.5648333333286264,0.29344194413429436,0.9939349429433719,0.014925373134328358,0,1.0,0.1734515847630125,2.0785219399538106,19.889494973422472,0,0,0,0
1,1,0,1,8,1,2,0,1,0,0,1,1,65.93,489.33,9,0.7,0,1,9.56,0,0.1111111111111111,0.6923076922544379,0.5494166666620882,0.32574957265839216,0.7098734985202808,0.0,0,0.8888888888888888,0.010458688181682352,2.0785219399538106,21.476669325367798,0,0,0,0
1,0,1,1,9,1,2,1,1,0,0,1,1,55.23,623.09,4,40.3,0,0,14.39,1,0.1,0.30769230766863903,0.46024999999616456,0.36256153846473804,1.200466245376079,0.0,0,1.0,0.7166992708518585,0.9237875288683602,20.024273769407483,0,0,0,0
1,0,0,0,72,1,2,0,1,0,0,1,0,86.89,6114.89,3,15.28,1,0,10.49,1,0.0136986301369863,0.2307692307514793,0.7240833333272992,0.4489589392354184,2.6975393058177906,0.0136986301369863,0,1.0,0.17385368073728524,0.6928406466512702,39.0100422301655,0,0,1,0
0,0,1,0,1,1,2,1,1,0,0,0,0,18.0,18.0,9,117.54,0,0,9.13,0,0.5,0.6923076922544379,0.14999999999875,0.32153846154861243,0.21642419141517374,0.0,0,1.0,6.186315789473684,2.0785219399538106,5.787692307875024,0,0,1,0
0,0,1,1,19,1,1,1,1,1,0,0,2,42.08,809.1,3,18.24,0,0,9.68,0,0.05,0.2307692307514793,0.3506666666637444,0.31411282051520195,1.4637455676966495,0.0,0,1.0,0.4233983286908078,0.6928406466512702,13.217867487279698,0,0,0,0
0,0,1,1,22,1,1,1,0,1,0,1,2,41.06,843.34,3,0.39,1,0,4.51,1,0.043478260869565216,0.2307692307514793,0.3421666666638153,0.3081041248630564,2.823746065760397,0.043478260869565216,0,1.0,0.00927246790299572,0.6928406466512702,12.650755366877096,0,0,0,0
0,0,0,0,33,1,0,-1,-1,-1,1,1,3,84.38,2746.63,4,0.0,1,2,16.04,0,0.029411764705882353,0.30769230766863903,0.7031666666608068,0.4314929110129479,1.2966321732726553,0.029411764705882353,0,0.9411764705882353,0.0,0.9237875288683602,36.409371831272544,0,0,0,0
0,0,0,0,6,1,1,1,1,0,0,0,1,48.83,304.97,2,10.06,0,0,6.32,0,0.14285714285714285,0.15384615383431952,0.4069166666632757,0.3891402930413035,3.9688964081207705,0.0,0,1.0,0.20188641380694364,0.4618937644341801,19.001720509206848,0,0,0,0
1,0,0,1,25,1,2,0,0,0,1,1,0,35.8,767.69,7,13.89,2,1,9.6,1,0.038461538461538464,0.5384615384201183,0.2983333333308472,0.2270256410329306,0.45668649613325407,0.07692307692307693,0,0.9615384615384616,0.37744565217391307,1.6166281755196306,8.127517948978914,0,1,0,0
0,0,0,0,3,1,0,-1,-1,-1,1,1,2,70.19,284.28,4,0.0,1,0,8.81,0,0.25,0.30769230766863903,0.5849166666617923,0.47242820513098915,2.663793103448276,0.25,0,1.0,0.0,0.9237875288683602,33.15973571814413,0,0,0,0
0,0,0,0,9,1,1,0,1,1,2,1,2,89.0,809.99,6,53.66,0,1,9.95,1,0.1,0.4615384615029586,0.7416666666604861,0.4443589743636027,1.5047185584246705,0.0,0,0.9,0.5962222222222222,1.3856812933025404,39.547948718360644,1,0,0,0
1,0,0,1,1,1,2,1,1,0,0,0,0,87.18,94.34,2,45.86,1,1,10.53,0,0.5,0.15384615383431952,0.7264999999939459,0.6598307692307145,4.276518585675431,0.5,0,0.5,0.5200725788160581,0.4618937644341801,57.52404646153369,1,0,1,0
0,0,1,0,18,1,1,1,1,1,2,1,3,92.87,1670.25,1,7.54,0,0,7.14,0,0.05263157894736842,0.07692307691715976,0.7739166666602174,0.5152346828596024,12.895691785052504,0.0,0,1.0,0.08032385213593267,0.23094688221709006,47.849844997171274,0,0,0,0
1,0,1,0,5,1,0,-1,-1,-1,1,1,2,68.56,313.01,4,0.0,1,1,3.41,0,0.16666666666666666,0.30769230766863903,0.5713333333285723,0.4336615384643677,4.523265895953757,0.16666666666666666,0,0.8333333333333334,0.0,0.9237875288683602,29.73183507711705,0,0,0,0
0,0,0,0,3,1,1,0,1,0,2,1,0,73.42,204.7,3,5.94,1,1,11.68,0,0.25,0.2307692307514793,0.6118333333282348,0.4985794871809981,1.928948360346777,0.25,0,0.75,0.07981725342649826,0.6928406466512702,36.605705948828884,0,0,0,0
1,0,0,0,12,1,2,1,0,1,0,0,3,57.22,691.73,6,8.37,2,0,1.0,0,0.07692307692307693,0.4615384615029586,0.4768333333293597,0.329194871800383,9.475753424657535,0.15384615384615385,0,1.0,0.14376502919958775,1.3856812933025404,18.836530564417913,0,1,0,0
0,0,0,0,2,1,2,1,1,1,1,0,3,55.21,82.42,2,4.0,1,0,9.24,1,0.3333333333333333,0.15384615383431952,0.4600833333294993,0.48659743589826915,2.171232876712329,0.3333333333333333,0,1.0,0.07116171499733144,0.4618937644341801,26.86504443594344,0,0,0,0
0,0,0,1,32,1,0,-1,-1,-1,2,1,3,35.78,1125.62,5,0.0,2,0,1.0,0,0.030303030303030304,0.3846153845857988,0.29816666666418196,0.25446480186972514,6.991428571428571,0.06060606060606061,0,1.0,0.0,1.1547344110854503,9.104750610898765,0,0,0,0
1,0,0,1,6,1,1,0,1,1,0,0,3,85.8,535.22,5,41.85,0,1,3.09,0,0.14285714285714285,0.3846153845857988,0.7149999999940416,0.466219780223314,5.712059765208112,0.0,0,0.8571428571428572,0.48214285714285715,1.1547344110854503,40.001657143160344,1,0,0,0
1,0,1,0,37,1,2,1,0,1,1,1,0,18.0,594.47,3,7.93,2,0,17.88,0,0.02631578947368421,0.2307692307514793,0.14999999999875,0.22437246963867785,0.29937855042101447,0.05263157894736842,0,1.0,0.41736842105263156,0.6928406466512702,4.0387044534962016,0,1,0,0
1,0,1,0,54,1,1,1,1,1,2,1,3,25.78,1420.08,4,3.45,0,0,1.0,0,0.01818181818181818,0.30769230766863903,0.21483333333154306,0.23166759907161666,6.544147465437788,0.0,0,1.0,0.12882748319641524,0.9237875288683602,5.972390704066278,0,0,0,0
1,1,1,0,40,1,1,1,1,0,1,1,2,120.0,4917.61,5,11.58,1,1,8.25,1,0.024390243902439025,0.3846153845857988,0.9999999999916667,0.5328330206404825,2.9785645063597816,0.024390243902439025,0,0.975609756097561,0.09570247933884297,1.1547344110854503,63.93996247685791,0,0,0,0
1,1,1,0,43,1,2,1,1,1,0,0,2,61.53,2746.51,4,76.05,0,1,5.28,0,0.022727272727272728,0.30769230766863903,0.5127499999957271,0.35265244755547215,3.0209314092128996,0.0,0,0.9772727272727273,1.2162162162162162,0.9237875288683602,21.6987050980882,0,0,0,0
1,0,1,0,30,1,1,0,1,1,1,1,3,69.2,2090.74,3,36.96,0,0,12.25,0,0.03225806451612903,0.2307692307514793,0.5766666666618612,0.3974160463209002,1.8946443135478022,0.0,0,1.0,0.5264957264957265,0.6928406466512702,27.501190405406295,0,0,0,0
1,0,1,0,14,1,2,0,1,0,0,1,1,28.64,338.49,1,27.56,2,0,7.05,1,0.06666666666666667,0.07692307691715976,0.23866666666467778,0.30674871794910585,3.395085255767302,0.13333333333333333,0,1.0,0.9298245614035087,0.23094688221709006,8.785283282062391,0,0,0,0
1,0,1,0,12,1,0,-1,-1,-1,2,0,3,79.56,1023.87,4,0.0,3,1,16.53,0,0.07692307692307693,0.30769230766863903,0.662999999994475,0.434430769233293,1.2887946226272593,0.23076923076923078,1,0.9230769230769231,0.0,0.9237875288683602,34.56331200020079,0,0,0,0
0,0,1,0,25,1,0,-1,-1,-1,0,0,2,106.23,2646.23,3,0.0,1,1,3.97,0,0.038461538461538464,0.2307692307514793,0.8852499999926229,0.5233307692313687,8.857673640167365,0.038461538461538464,0,0.9615384615384616,0.0,0.6928406466512702,55.5934276154483,0,0,0,0
0,0,0,1,8,0,2,0,0,1,0,1,2,108.52,939.3,2,5.63,2,0,2.72,1,0.1111111111111111,0.15384615383431952,0.9043333333257971,0.5754085470078995,21.09838274932614,0.2222222222222222,0,1.0,0.05140613586559532,0.4618937644341801,62.44333552129724,1,1,0,0
1,0,0,0,12,0,1,0,0,1,0,1,2,19.5,195.82,3,23.43,0,1,7.31,0,0.07692307692307693,0.2307692307514793,0.16249999999864584,0.24961538461839328,0.7412931556632345,0.0,0,0.9230769230769231,1.1429268292682926,0.6928406466512702,4.867500000058669,0,0,0,0
0,1,1,0,5,1,2,1,1,0,1,0,2,100.06,470.92,3,9.09,1,1,2.06,0,0.16666666666666666,0.2307692307514793,0.8338333333263848,0.5540461538469248,14.762382445141068,0.16666666666666666,0,0.8333333333333334,0.08994656639620027,0.6928406466512702,55.437858153923294,1,0,0,0
0,0,1,0,45,0,0,-1,-1,-1,2,1,1,65.31,2963.02,1,0.0,1,1,5.24,0,0.021739130434782608,0.07692307691715976,0.5442499999954646,0.411011036788667,12.512753378378378,0.021739130434782608,0,0.9782608695652174,0.0,0.23094688221709006,26.843130812667845,0,0,0,0
0,0,1,0,39,1,0,-1,-1,-1,0,1,3,18.0,667.66,6,0.0,3,1,5.92,0,0.025,0.4615384615029586,0.14999999999875,0.17769230769890831,0.48161987477277324,0.075,1,0.975,0.0,1.3856812933025404,3.1984615385803497,0,0,0,1
0,0,0,1,20,1,2,0,0,1,0,1,0,18.8,469.86,3,17.04,1,0,13.71,0,0.047619047619047616,0.2307692307514793,0.1566666666653611,0.23556043956346767,0.570495386109762,0.047619047619047616,0,1.0,0.8606060606060605,0.6928406466512702,4.428536263793192,0,1,1,0
1,0,0,0,13,0,0,-1,-1,-1,0,1,3,18.0,262.18,3,0.0,1,1,3.79,1,0.07142857142857142,0.2307692307514793,0.14999999999875,0.24241758242063274,1.7618439620993214,0.07142857142857142,0,0.9285714285714286,0.0,0.6928406466512702,4.36351648357139,0,0,0,0
0,0,1,0,35,1,0,-1,-1,-1,2,1,2,83.06,2995.76,2,0.0,1,0,13.04,0,0.027777777777777776,0.15384615383431952,0.6921666666608987,0.4572085470086067,3.278354125629241,0.027777777777777776,0,1.0,0.0,0.4618937644341801,37.97574191453487,0,0,0,0
1,1,0,0,2,1,0,-1,-1,-1,0,0,3,59.4,62.01,2,0.0,1,0,10.36,1,0.3333333333333333,0.15384615383431952,0.49499999999587496,0.5005641025648194,1.4611215834118756,0.3333333333333333,0,1.0,0.0,0.4618937644341801,29.733507692350273,0,0,0,0
0,0,1,0,1,1,2,1,0,1,0,1,1,45.47,18.0,2,34.49,1,0,4.48,0,0.5,0.15384615383431952,0.378916666663509,0.5207974358985398,1.8072289156626504,0.5,0,1.0,0.742199268345169,0.4618937644341801,23.680659410306603,0,1,0,0
0,0,1,1,36,1,0,-1,-1,-1,1,0,3,62.16,2373.96,8,0.0,1,0,7.08,0,0.02702702702702703,0.6153846153372781,0.5179999999956832,0.29493388774162854,1.1636830650379404,0.02702702702702703,0,1.0,0.0,1.8475750577367205,18.33309046201963,0,0,0,0
0,0,1,0,23,1,0,-1,-1,-1,0,0,2,117.69,2626.5,4,0.0,1,1,6.43,1,0.041666666666666664,0.30769230766863903,0.980749999991827,0.5474282051296697,4.432462535439449,0.041666666666666664,0,0.9583333333333334,0.0,0.9237875288683602,64.42682546171083,0,0,0,0
1,0,1,0,39,0,1,1,1,0,0,1,3,56.16,2258.21,2,2.26,3,0,8.88,0,0.025,0.15384615383431952,0.4679999999961,0.36643076923157614,3.2555936797185856,0.075,1,1.0,0.03953813855843247,0.4618937644341801,20.578752000045316,0,0,0,1
0,0,1,0,9,0,0,-1,-1,-1,0,1,0,74.86,683.75,6,0.0,0,0,3.61,0,0.1,0.4615384615029586,0.6238333333281347,0.3972256410306622,3.489588649586608,0.0,0,1.0,0.0,1.3856812933025404,29.736311487555373,0,0,1,0
1,0,0,0,3,1,1,0,1,0,2,1,3,83.91,230.5,3,12.92,1,0,6.77,0,0.25,0.2307692307514793,0.6992499999941729,0.5335461538473734,3.7219441304698857,0.25,0,1.0,0.15216111176539865,0.6928406466512702,44.7698577693331,0,0,0,0
0,0,1,0,16,1,2,1,1,1,2,1,3,28.58,507.06,3,3.08,1,0,11.65,0,0.058823529411764705,0.2307692307514793,0.23816666666468192,0.27264223228028284,0.9051410210639057,0.058823529411764705,0,1.0,0.10412440838404328,0.6928406466512702,7.792114998570483,0,0,0,0
1,0,1,1,16,0,0,-1,-1,-1,1,1,1,81.94,1392.39,3,0.0,0,0,5.65,0,0.058823529411764705,0.2307692307514793,0.6828333333276431,0.45050889894546725,5.115319617927994,0.0,0,1.0,0.0,0.6928406466512702,36.91469917959159,0,0,0,0
0,0,1,0,42,1,2,1,0,0,0,1,1,92.59,3892.37,4,34.91,0,2,7.68,0,0.023255813953488372,0.30769230766863903,0.7715833333269034,0.4563971973784289,3.0144434806852325,0.0,0,0.9534883720930233,0.37300993695907675,0.9237875288683602,42.25781650526873,0,1,0,0
1,0,1,1,3,0,0,-1,-1,-1,0,1,2,95.0,299.19,4,0.0,0,0,13.11,1,0.25,0.30769230766863903,0.7916666666600695,0.5551282051303,1.8897801920161699,0.0,0,1.0,0.0,0.9237875288683602,52.737179487378505,1,0,0,0
1,0,0,0,72,1,2,1,1,0,0,1,0,60.62,4373.0,10,31.61,1,0,9.43,0,0.0136986301369863,0.7692307691715976,0.5051666666624569,0.25369996488545776,0.6439784407857921,0.0136986301369863,0,1.0,0.5129827977929244,2.3094688221709005,15.379291871356449,0,0,1,0
0,0,1,1,1,1,2,1,0,0,1,0,1,93.1,89.39,5,16.7,0,0,8.18,0,0.5,0.3846153845857988,0.775833333326868,0.6334102564135875,2.1334128878281624,0.0,0,1.0,0.17747077577045697,1.1547344110854503,58.97049487210499,1,1,0,0
1,0,1,1,11,1,1,0,0,1,1,1,3,79.73,793.7,3,39.66,0,0,3.7,1,0.08333333333333333,0.2307692307514793,0.6644166666611299,0.4529461538474895,6.447603574329812,0.0,0,1.0,0.4912671869193608,0.6928406466512702,36.113396846260336,0,0,0,0
0,0,0,0,36,0,2,1,0,1,2,1,1,67.04,2369.93,4,6.07,0,0,11.09,0,0.02702702702702703,0.30769230766863903,0.5586666666620111,0.37273901594188746,1.483097198928634,0.0,0,1.0,0.08921222810111698,0.9237875288683602,24.988423628744137,0,1,0,0
0,0,1,0,37,1,2,0,0,1,0,1,2,92.47,3483.6,4,6.33,1,0,11.04,0,0.02631578947368421,0.30769230766863903,0.7705833333269118,0.45722118758651065,2.130746458542314,0.02631578947368421,0,1.0,0.0677222638279662,0.9237875288683602,42.27924321612464,0,1,0,0
0,0,1,0,25,1,1,1,1,0,1,1,2,117.33,2907.08,2,10.81,0,0,11.46,1,0.038461538461538464,0.15384615383431952,0.9777499999918521,0.5757153846144923,5.064599303135888,0.0,0,1.0,0.0913546860474943,0.4618937644341801,67.54868607681838,0,0,0,0
0,0,1,0,2,1,2,1,1,0,1,0,0,92.7,133.83,5,4.5,0,0,11.16,0,0.3333333333333333,0.3846153845857988,0.7724999999935624,0.5654102564135985,1.18854351687389,0.0,0,1.0,0.048025613660619,1.1547344110854503,52.413530769540586,1,0,0,0
0,0,1,0,58,1,1,1,1,0,0,1,1,62.77,3622.9,4,20.11,0,0,13.34,0,0.01694915254237288,0.30769230766863903,0.5230833333289743,0.35447453281481106,1.1702326963577399,0.0,0,1.0,0.31535204641681036,0.9237875288683602,22.250366424785692,0,0,0,0
0,0,0,0,30,1,2,0,0,0,1,1,3,50.35,1498.15,4,4.85,1,1,8.33,0,0.03225806451612903,0.30769230766863903,0.4195833333298368,0.31919809760465856,1.4972516490105936,0.03225806451612903,0,0.967741935483871,0.09444985394352481,0.9237875288683602,16.07162421439456,0,1,0,0
0,0,1,0,42,1,1,1,0,1,2,0,1,80.82,3322.89,4,7.12,1,0,10.15,0,0.023255813953488372,0.30769230766863903,0.6734999999943875,0.4171638640454225,1.9475383894033524,0.023255813953488372,0,1.0,0.08702028843803472,0.9237875288683602,33.71518349215104,0,0,0,0
