customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,internet_service,online_security,tech_support,streaming_tv,contract,paperless_billing,payment_method,monthly_charges,total_charges,calls_per_month,data_usage_gb,support_tickets,late_payments,avg_call_duration,churn
CUST-000016,Male,0,No,No,40,Yes,Fiber optic,Yes,Yes,No,Two year,Yes,Electronic check,58.1,2286.18,6,5.14,1,0,11.99,0
CUST-000017,Female,0,Yes,No,2,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes,Electronic check,97.99,195.34,6,25.69,0,0,5.95,1
CUST-000018,Female,0,Yes,No,30,Yes,Fiber optic,No,No,No,Month-to-month,No,Credit card (automatic),73.02,2156.35,4,14.61,1,0,9.9,1
CUST-000019,Female,0,Yes,No,33,Yes,DSL,Yes,Yes,No,One year,Yes,Credit card (automatic),42.76,1350.1,8,0.57,0,1,8.24,0
CUST-000020,Male,1,Yes,Yes,32,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),45.59,1485.84,5,0.0,0,0,4.01,0
CUST-000021,Female,0,Yes,No,1,Yes,DSL,No,Yes,Yes,Two year,Yes,Mailed check,18.0,18.0,2,3.5,1,2,2.7,0
CUST-000022,Male,0,Yes,No,14,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),78.49,1022.05,5,0.0,0,0,12.12,0
CUST-000023,Female,1,Yes,No,40,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,58.71,2385.98,3,19.75,1,0,5.27,0
CUST-000024,Female,0,No,No,47,Yes,Fiber optic,Yes,No,No,One year,No,Electronic check,70.61,3242.76,1,4.6,1,1,10.48,1
CUST-000025,Female,1,Yes,No,16,Yes,DSL,Yes,No,No,One year,Yes,Mailed check,120.0,1889.79,1,10.33,0,1,13.57,0
CUST-000026,Female,0,No,No,5,Yes,Fiber optic,Yes,No,Yes,Month-to-month,No,Credit card (automatic),51.58,270.87,4,5.25,0,0,4.77,1
CUST-000027,Female,0,No,Yes,20,Yes,DSL,No,No,No,Month-to-month,Yes,Bank transfer (automatic),71.43,1453.84,6,9.83,0,0,7.3,1
CUST-000028,Female,0,Yes,Yes,31,Yes,DSL,Yes,Yes,No,One year,No,Mailed check,46.06,1453.4,2,2.97,2,0,9.19,0
CUST-000029,Female,0,No,Yes,72,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,59.98,4352.4,3,0.0,0,1,8.56,0
CUST-000030,Female,0,No,Yes,34,Yes,Fiber optic,No,No,Yes,Month-to-month,No,Bank transfer (automatic),35.79,1163.71,5,4.78,0,1,10.07,0
CUST-000031,Male,0,Yes,No,51,Yes,Fiber optic,Yes,No,Yes,One year,No,Credit card (automatic),32.05,1659.95,3,35.89,1,1,10.2,0
CUST-000032,Male,0,No,Yes,9,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,138.34,5,0.0,1,0,7.5,0
CUST-000033,Female,0,Yes,No,53,Yes,DSL,No,Yes,Yes,Two year,No,Credit card (automatic),32.51,1589.15,7,0.6,1,0,7.37,0
CUST-000034,Female,0,Yes,No,28,Yes,Fiber optic,Yes,Yes,Yes,One year,Yes,Electronic check,72.0,2098.11,3,22.59,1,0,10.86,0
CUST-000035,Female,0,Yes,Yes,23,Yes,Fiber optic,Yes,Yes,Yes,Two year,No,Credit card (automatic),55.6,1256.46,3,0.22,0,0,7.36,0
CUST-000036,Male,0,Yes,No,9,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),58.4,525.64,5,1.53,1,1,13.09,1
CUST-000037,Female,0,Yes,No,6,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,51.49,268.64,5,0.0,0,1,2.76,0
CUST-000038,Male,1,Yes,Yes,23,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,69.62,1627.45,8,0.0,2,1,12.32,1
CUST-000039,Male,0,Yes,No,66,Yes,Fiber optic,Yes,Yes,No,Month-to-month,No,Credit card (automatic),67.78,4452.59,9,11.93,1,0,7.54,0
CUST-000040,Male,1,No,Yes,8,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Mailed check,65.93,489.33,9,0.7,0,1,9.56,0
CUST-000041,Male,0,Yes,Yes,9,Yes,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Mailed check,55.23,623.09,4,40.3,0,0,14.39,1
CUST-000042,Male,0,No,No,72,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Electronic check,86.89,6114.89,3,15.28,1,0,10.49,1
CUST-000043,Female,0,Yes,No,1,Yes,Fiber optic,Yes,Yes,No,Month-to-month,No,Electronic check,18.0,18.0,9,117.54,0,0,9.13,0
CUST-000044,Female,0,Yes,Yes,19,Yes,DSL,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),42.08,809.1,3,18.24,0,0,9.68,0
CUST-000045,Female,0,Yes,Yes,22,Yes,DSL,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),41.06,843.34,3,0.39,1,0,4.51,1
CUST-000046,Female,0,No,No,33,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),84.38,2746.63,4,0.0,1,2,16.04,0
CUST-000047,Female,0,No,No,6,Yes,DSL,Yes,Yes,No,Month-to-month,No,Mailed check,48.83,304.97,2,10.06,0,0,6.32,0
CUST-000048,Male,0,No,Yes,25,Yes,Fiber optic,No,No,No,One year,Yes,Electronic check,35.8,767.69,7,13.89,2,1,9.6,1
CUST-000049,Female,0,No,No,3,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),70.19,284.28,4,0.0,1,0,8.81,0
CUST-000050,Female,0,No,No,9,Yes,DSL,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),89.0,809.99,6,53.66,0,1,9.95,1
CUST-000051,Male,0,No,Yes,1,Yes,Fiber optic,Yes,Yes,No,Month-to-month,No,Electronic check,87.18,94.34,2,45.86,1,1,10.53,0
CUST-000052,Female,0,Yes,No,18,Yes,DSL,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),92.87,1670.25,1,7.54,0,0,7.14,0
CUST-000053,Male,0,Yes,No,5,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),68.56,313.01,4,0.0,1,1,3.41,0
CUST-000054,Female,0,No,No,3,Yes,DSL,No,Yes,No,Two year,Yes,Electronic check,73.42,204.7,3,5.94,1,1,11.68,0
CUST-000055,Male,0,No,No,12,Yes,Fiber optic,Yes,No,Yes,Month-to-month,No,Credit card (automatic),57.22,691.73,6,8.37,2,0,1.0,0
CUST-000056,Female,0,No,No,2,Yes,Fiber optic,Yes,Yes,Yes,One year,No,Credit card (automatic),55.21,82.42,2,4.0,1,0,9.24,1
CUST-000057,Female,0,No,Yes,32,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),35.78,1125.62,5,0.0,2,0,1.0,0
CUST-000058,Male,0,No,Yes,6,Yes,DSL,No,Yes,Yes,Month-to-month,No,Credit card (automatic),85.8,535.22,5,41.85,0,1,3.09,0
CUST-000059,Male,0,Yes,No,37,Yes,Fiber optic,Yes,No,Yes,One year,Yes,Electronic check,18.0,594.47,3,7.93,2,0,17.88,0
CUST-000060,Male,0,Yes,No,54,Yes,DSL,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),25.78,1420.08,4,3.45,0,0,1.0,0
CUST-000061,Male,1,Yes,No,40,Yes,DSL,Yes,Yes,No,One year,Yes,Bank transfer (automatic),120.0,4917.61,5,11.58,1,1,8.25,1
CUST-000062,Male,1,Yes,No,43,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),61.53,2746.51,4,76.05,0,1,5.28,0
CUST-000063,Male,0,Yes,No,30,Yes,DSL,No,Yes,Yes,One year,Yes,Credit card (automatic),69.2,2090.74,3,36.96,0,0,12.25,0
CUST-000064,Male,0,Yes,No,14,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Mailed check,28.64,338.49,1,27.56,2,0,7.05,1
CUST-000065,Male,0,Yes,No,12,Yes,No,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),79.56,1023.87,4,0.0,3,1,16.53,0
CUST-000066,Female,0,Yes,No,25,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),106.23,2646.23,3,0.0,1,1,3.97,0
CUST-000067,Female,0,No,Yes,8,No,Fiber optic,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),108.52,939.3,2,5.63,2,0,2.72,1
CUST-000068,Male,0,No,No,12,No,DSL,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),19.5,195.82,3,23.43,0,1,7.31,0
CUST-000069,Female,1,Yes,No,5,Yes,Fiber optic,Yes,Yes,No,One year,No,Bank transfer (automatic),100.06,470.92,3,9.09,1,1,2.06,0
CUST-000070,Female,0,Yes,No,45,No,No,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,65.31,2963.02,1,0.0,1,1,5.24,0
CUST-000071,Female,0,Yes,No,39,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.0,667.66,6,0.0,3,1,5.92,0
CUST-000072,Female,0,No,Yes,20,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Electronic check,18.8,469.86,3,17.04,1,0,13.71,0
CUST-000073,Male,0,No,No,13,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.0,262.18,3,0.0,1,1,3.79,1
CUST-000074,Female,0,Yes,No,35,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),83.06,2995.76,2,0.0,1,0,13.04,0
CUST-000075,Male,1,No,No,2,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),59.4,62.01,2,0.0,1,0,10.36,1
CUST-000076,Female,0,Yes,No,1,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Mailed check,45.47,18.0,2,34.49,1,0,4.48,0
CUST-000077,Female,0,Yes,Yes,36,Yes,No,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),62.16,2373.96,8,0.0,1,0,7.08,0
CUST-000078,Female,0,Yes,No,23,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),117.69,2626.5,4,0.0,1,1,6.43,1
CUST-000079,Male,0,Yes,No,39,No,DSL,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),56.16,2258.21,2,2.26,3,0,8.88,0
CUST-000080,Female,0,Yes,No,9,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,74.86,683.75,6,0.0,0,0,3.61,0
CUST-000081,Male,0,No,No,3,Yes,DSL,No,Yes,No,Two year,Yes,Credit card (automatic),83.91,230.5,3,12.92,1,0,6.77,0
CUST-000082,Female,0,Yes,No,16,Yes,Fiber optic,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),28.58,507.06,3,3.08,1,0,11.65,0
CUST-000083,Male,0,Yes,Yes,16,No,No,No internet service,No internet service,No internet service,One year,Yes,Mailed check,81.94,1392.39,3,0.0,0,0,5.65,0
CUST-000084,Female,0,Yes,No,42,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes,Mailed check,92.59,3892.37,4,34.91,0,2,7.68,0
CUST-000085,Male,0,Yes,Yes,3,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),95.0,299.19,4,0.0,0,0,13.11,1
CUST-000086,Male,0,No,No,72,Yes,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Electronic check,60.62,4373.0,10,31.61,1,0,9.43,0
CUST-000087,Female,0,Yes,Yes,1,Yes,Fiber optic,Yes,No,No,One year,No,Mailed check,93.1,89.39,5,16.7,0,0,8.18,0
CUST-000088,Male,0,Yes,Yes,11,Yes,DSL,No,No,Yes,One year,Yes,Credit card (automatic),79.73,793.7,3,39.66,0,0,3.7,1
CUST-000089,Female,0,No,No,36,No,Fiber optic,Yes,No,Yes,Two year,Yes,Mailed check,67.04,2369.93,4,6.07,0,0,11.09,0
CUST-000090,Female,0,Yes,No,37,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),92.47,3483.6,4,6.33,1,0,11.04,0
CUST-000091,Female,0,Yes,No,25,Yes,DSL,Yes,Yes,No,One year,Yes,Bank transfer (automatic),117.33,2907.08,2,10.81,0,0,11.46,1
CUST-000092,Female,0,Yes,No,2,Yes,Fiber optic,Yes,Yes,No,One year,No,Electronic check,92.7,133.83,5,4.5,0,0,11.16,0
CUST-000093,Female,0,Yes,No,58,Yes,DSL,Yes,Yes,No,Month-to-month,Yes,Mailed check,62.77,3622.9,4,20.11,0,0,13.34,0
CUST-000094,Female,0,No,No,30,Yes,Fiber optic,No,No,No,One year,Yes,Credit card (automatic),50.35,1498.15,4,4.85,1,1,8.33,0
CUST-000095,Female,0,Yes,No,42,Yes,DSL,Yes,No,Yes,Two year,No,Mailed check,80.82,3322.89,4,7.12,1,0,10.15,0
CUST-000096,Female,0,Yes,No,14,Yes,Fiber optic,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),69.63,966.6,5,2.9,0,1,8.46,0
CUST-000097,Female,1,No,No,8,Yes,Fiber optic,Yes,Yes,No,One year,Yes,Bank transfer (automatic),98.68,794.08,3,47.69,0,1,11.3,0
CUST-000098,Female,0,Yes,No,38,Yes,DSL,Yes,Yes,No,Month-to-month,Yes,Electronic check,36.48,1350.31,6,6.72,1,0,5.97,0
CUST-000099,Female,0,Yes,No,50,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,96.11,4821.5,6,0.0,2,0,13.52,0
CUST-000100,Male,0,No,Yes,50,No,Fiber optic,No,No,Yes,One year,No,Electronic check,23.13,1295.88,5,11.74,0,0,10.37,0
CUST-000101,Male,0,Yes,No,37,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Electronic check,59.75,2195.2,7,3.35,1,0,14.85,1
CUST-000102,Female,0,No,Yes,4,Yes,Fiber optic,Yes,No,No,Month-to-month,No,Credit card (automatic),82.5,268.52,6,3.95,2,0,5.75,1
CUST-000103,Female,0,Yes,No,7,No,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Mailed check,61.63,484.06,2,16.44,1,0,10.84,1
CUST-000104,Female,0,No,Yes,20,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,Electronic check,78.17,1611.91,1,6.35,0,0,12.53,1
CUST-000105,Female,0,Yes,No,21,Yes,Fiber optic,No,No,No,One year,No,Mailed check,106.57,2295.55,3,29.06,0,1,12.05,0
CUST-000106,Female,0,Yes,Yes,20,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),47.98,977.13,5,12.4,0,0,9.53,1
CUST-000107,Female,0,No,No,52,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Electronic check,22.88,1160.49,5,10.66,1,1,8.53,0
CUST-000108,Female,0,Yes,No,4,Yes,DSL,No,Yes,No,Month-to-month,No,Mailed check,30.95,131.58,4,12.86,1,0,4.77,0
CUST-000109,Female,0,No,No,47,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,62.34,2901.43,5,0.0,2,0,9.2,0
CUST-000110,Male,1,No,No,1,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),102.38,169.62,4,0.0,0,1,4.88,0
CUST-000111,Female,1,No,No,11,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,55.59,661.53,3,1.77,0,1,9.97,1
CUST-000112,Male,1,No,No,6,Yes,DSL,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),120.0,640.91,4,13.62,1,0,3.84,1
CUST-000113,Female,0,Yes,No,22,Yes,DSL,No,No,No,One year,No,Electronic check,26.86,568.75,4,17.39,1,0,7.62,0
CUST-000114,Female,0,No,No,22,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,No,Electronic check,18.0,437.83,3,1.26,0,1,11.68,1
CUST-000115,Male,0,Yes,No,21,Yes,DSL,No,No,Yes,One year,No,Credit card (automatic),72.03,1451.33,3,15.93,0,0,8.21,0
CUST-000116,Female,0,Yes,No,10,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,48.0,481.34,3,0.0,0,0,10.3,1
CUST-000117,Male,0,No,No,22,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,42.42,845.3,5,0.0,1,0,10.21,0
CUST-000118,Female,0,No,No,36,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,65.64,2342.94,6,0.0,0,1,8.94,0
CUST-000119,Female,0,Yes,Yes,15,Yes,DSL,Yes,Yes,Yes,Month-to-month,No,Mailed check,28.03,418.82,2,36.89,1,0,4.29,0
CUST-000120,Male,0,No,No,72,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,81.36,5799.23,4,0.0,1,1,10.08,0
CUST-000121,Female,0,Yes,No,2,Yes,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),70.87,148.2,2,4.81,1,0,7.13,1
CUST-000122,Male,1,No,No,72,Yes,DSL,No,Yes,No,Month-to-month,No,Bank transfer (automatic),54.26,3932.99,2,64.49,0,1,5.6,0
CUST-000123,Female,0,Yes,No,42,Yes,Fiber optic,Yes,No,Yes,One year,No,Bank transfer (automatic),71.33,2949.58,4,5.15,0,1,2.33,0
CUST-000124,Male,0,Yes,No,26,Yes,Fiber optic,No,Yes,No,Month-to-month,No,Bank transfer (automatic),120.0,3156.1,6,56.49,2,1,7.21,1
CUST-000125,Male,1,No,No,6,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,57.62,397.1,6,0.0,0,1,5.98,0
CUST-000126,Female,0,Yes,Yes,29,Yes,DSL,No,Yes,Yes,Two year,No,Mailed check,50.28,1448.2,4,15.76,3,1,3.25,0
CUST-000127,Female,0,Yes,No,48,Yes,DSL,Yes,No,No,One year,Yes,Electronic check,85.15,3998.07,4,27.63,2,0,8.37,0
CUST-000128,Male,0,No,Yes,8,Yes,Fiber optic,Yes,Yes,No,Month-to-month,No,Electronic check,45.1,328.72,3,5.2,0,0,11.21,0
CUST-000129,Female,0,No,Yes,1,No,No,No internet service,No internet service,No internet service,Two year,No,Electronic check,79.44,93.28,4,0.0,2,0,11.18,0
CUST-000130,Female,1,No,No,17,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),89.64,1466.14,4,0.0,0,0,3.22,0
CUST-000131,Female,0,No,No,10,Yes,DSL,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),106.99,1061.87,7,31.11,0,0,5.11,0
CUST-000132,Male,0,No,Yes,10,Yes,DSL,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,55.37,510.83,2,41.65,0,1,6.06,0
CUST-000133,Male,0,Yes,No,38,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.4,964.35,8,0.0,0,1,9.0,0
CUST-000134,Male,0,Yes,No,4,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,57.29,217.96,7,30.28,0,1,5.51,1
CUST-000135,Male,1,No,Yes,31,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,70.3,2176.99,2,0.0,1,0,13.14,0
CUST-000136,Male,0,Yes,Yes,1,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),46.47,70.7,4,0.0,0,1,11.07,1
CUST-000137,Male,0,Yes,Yes,72,Yes,DSL,No,Yes,No,Two year,Yes,Electronic check,68.96,4951.35,1,14.0,0,0,8.01,0
CUST-000138,Male,0,Yes,Yes,26,Yes,Fiber optic,No,No,Yes,Two year,Yes,Electronic check,117.29,3132.46,8,80.81,2,1,5.08,0
CUST-000139,Male,0,Yes,No,72,Yes,DSL,Yes,Yes,Yes,Two year,No,Mailed check,47.88,3517.79,2,24.87,0,0,11.53,0
CUST-000140,Male,1,Yes,No,60,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),40.74,2466.61,2,0.0,0,1,8.67,0
CUST-000141,Female,0,No,No,61,Yes,Fiber optic,No,Yes,No,Two year,Yes,Electronic check,93.15,5706.18,0,28.63,1,0,11.04,0
CUST-000142,Male,0,No,Yes,3,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,27.83,55.83,6,0.0,1,2,9.53,0
CUST-000143,Female,0,Yes,No,35,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,65.39,2307.19,3,0.0,0,0,11.96,0
CUST-000144,Female,0,Yes,No,15,Yes,DSL,Yes,No,No,Month-to-month,No,Credit card (automatic),49.29,766.35,6,13.39,0,0,10.34,0
CUST-000145,Female,0,No,No,18,Yes,DSL,No,No,No,One year,No,Credit card (automatic),18.0,351.94,3,6.04,0,0,9.11,0
CUST-000146,Male,1,No,No,9,Yes,Fiber optic,No,Yes,Yes,Month-to-month,No,Electronic check,60.72,598.84,6,0.57,0,1,4.32,0
CUST-000147,Male,0,No,No,4,Yes,No,No internet service,No internet service,No internet service,One year,No,Mailed check,46.17,204.87,3,0.0,0,0,6.47,0
CUST-000148,Male,1,No,Yes,10,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),80.2,817.98,4,0.0,0,1,1.0,0
CUST-000149,Male,0,Yes,No,23,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,71.0,1696.63,3,0.0,0,2,7.37,0
CUST-000150,Female,0,No,No,15,Yes,Fiber optic,Yes,Yes,No,Month-to-month,No,Credit card (automatic),70.26,1058.88,4,17.7,0,0,11.57,0
CUST-000151,Male,0,No,Yes,36,Yes,DSL,Yes,Yes,Yes,Month-to-month,No,Mailed check,36.54,1285.39,3,7.15,1,1,12.3,0
CUST-000152,Male,0,Yes,Yes,54,Yes,DSL,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,48.03,2622.16,5,1.36,0,0,9.21,0
CUST-000153,Male,1,No,Yes,7,Yes,DSL,Yes,No,No,Two year,Yes,Mailed check,72.54,540.79,5,61.55,0,0,10.66,0
CUST-000154,Male,0,No,No,1,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,Credit card (automatic),38.33,19.72,7,14.51,0,0,3.63,1
CUST-000155,Male,0,No,Yes,72,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,63.85,4578.56,4,0.0,1,0,3.53,0
CUST-000156,Female,0,No,Yes,64,Yes,DSL,No,No,Yes,Two year,Yes,Electronic check,75.5,4838.57,3,87.06,0,0,2.32,1
CUST-000157,Male,0,No,No,9,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,87.47,851.04,4,0.0,2,0,7.54,0
CUST-000158,Female,0,Yes,No,5,No,Fiber optic,Yes,No,No,Month-to-month,No,Electronic check,48.79,219.17,6,2.33,0,1,5.82,0
CUST-000159,Male,0,Yes,Yes,72,Yes,DSL,No,Yes,No,Month-to-month,No,Electronic check,53.24,3763.89,5,18.14,1,2,6.29,0
CUST-000160,Female,0,Yes,No,7,Yes,Fiber optic,No,Yes,Yes,Month-to-month,No,Credit card (automatic),70.89,422.74,1,47.79,0,1,11.63,0
CUST-000161,Male,0,Yes,No,7,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Mailed check,43.02,236.27,3,30.84,1,0,7.7,1
CUST-000162,Male,0,Yes,No,3,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.51,18.0,6,0.0,0,0,9.47,0
CUST-000163,Female,0,No,No,10,Yes,Fiber optic,Yes,No,Yes,Two year,Yes,Electronic check,75.6,729.64,6,0.71,1,0,6.28,0
CUST-000164,Female,0,No,No,55,Yes,DSL,No,No,Yes,Month-to-month,Yes,Electronic check,57.15,3117.27,3,31.15,1,1,11.93,1
CUST-000165,Female,0,No,No,25,No,No,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),81.08,2051.78,4,0.0,0,0,4.84,0
CUST-000166,Male,1,No,Yes,2,No,No,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,47.83,158.72,3,0.0,2,0,1.18,0
CUST-000167,Female,0,No,No,72,Yes,Fiber optic,No,Yes,Yes,Two year,Yes,Credit card (automatic),67.62,4912.91,6,16.07,0,1,7.31,0
CUST-000168,Male,0,No,No,23,Yes,DSL,Yes,Yes,No,Two year,No,Bank transfer (automatic),18.0,378.5,2,10.2,0,0,5.79,0
CUST-000169,Male,0,No,No,16,Yes,DSL,No,No,Yes,Two year,Yes,Mailed check,83.23,1301.84,6,27.89,0,1,3.94,0
CUST-000170,Female,0,No,No,46,No,DSL,No,Yes,No,Month-to-month,Yes,Electronic check,48.9,2373.38,4,6.54,1,0,10.68,0
CUST-000171,Female,0,No,No,24,Yes,DSL,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),60.82,1384.01,3,52.26,0,0,10.08,0
CUST-000172,Male,0,No,Yes,67,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),60.42,4093.86,4,0.0,0,0,9.89,1
